ID,geo_Breite,geo_Länge,PLZ
4169,48.6703,7.9939,77866
4174,52.2887,7.3866,48432
4175,47.5590,7.7721,79618
4177,48.9726,8.3301,76287
4189,48.1479,9.4596,88499
4222,50.5263,12.4091,08228
4233,50.3833,9.5167,36381
4240,50.6407,6.2058,52159
4261,47.8754,12.1280,83024
4271,54.1803,12.0808,18119
4275,53.1288,9.3398,27356
4278,49.2511,11.0934,91154
4280,49.2164,11.1036,91154
4287,49.3848,10.1732,91541
4288,52.1038,8.1808,49214
4293,47.6819,11.7714,83700
4294,48.4704,8.9687,72108
4300,48.1814,8.6356,78628
4301,49.8502,7.8710,55543
4318,47.7310,12.6610,83324
4320,54.0934,10.2223,24601
4323,49.6468,7.8837,67808
4327,48.8765,13.0490,94469
4330,48.8026,8.9557,71277
4332,50.6563,11.3894,07318
4336,49.2128,7.1077,66131
4339,49.2231,7.0168,66121
4343,49.3256,6.7354,66740
4347,51.5909,10.5691,37441
4349,48.9569,9.0710,74343
4350,47.5619,7.9399,79713
4354,48.7832,13.3146,94163
4364,52.0355,10.3054,38259
4367,52.0781,9.5520,31020
4371,52.1042,8.7521,32108
4373,52.8568,11.1319,29410
4377,50.3517,10.0034,97657
4386,47.7610,8.1247,79837
4390,48.0091,8.0966,79274
4391,53.9878,9.1125,25693
4393,54.3279,8.6031,25826
4396,49.4672,7.2036,66606
4397,49.5025,7.2020,66606
4401,51.6334,8.1872,59505
4411,49.9195,8.9671,64850
4419,47.9556,7.7134,79227
4425,49.4864,7.0290,66636
4429,47.5880,9.8500,88175
4433,48.1994,9.7700,88433
4436,50.8166,9.8460,36277
4438,49.9750,11.0395,96110
4442,51.9119,9.1533,32816
4445,51.7658,10.6533,38879
4464,50.5679,11.8041,07907
4466,54.5275,9.5487,24837
4468,54.5227,9.5649,24837
4471,47.7358,11.8505,83727
4474,49.7961,7.7583,55585
4477,47.8208,8.1860,79859
4479,50.3849,9.5358,36381
4480,50.3447,9.5534,36381
4484,53.6615,10.2543,22927
4485,50.7250,10.4539,98574
4489,51.8833,10.7667,38855
4490,49.4149,6.8360,66839
4501,50.6546,10.7693,98559
4505,50.5000,12.4500,08209
4508,50.2968,6.4194,54597
4517,48.7859,8.6451,75328
4548,50.2046,12.1435,95100
4549,48.1002,8.1969,78141
4556,48.1402,8.1991,78136
4557,47.6463,7.8439,79650
4559,49.1643,12.6175,93489
4560,50.4925,9.1226,63679
4571,51.8369,10.4312,38707
4576,49.3261,11.0120,91126
4581,48.7768,9.8025,73529
4582,49.0817,9.6868,74523
4584,48.3667,11.8000,85356
4586,50.1394,8.0627,65307
4592,49.3278,12.0870,92421
4593,51.9639,11.1208,39397
4597,47.5769,10.7181,87645
4605,50.6440,11.1937,07427
4606,51.5167,14.3500,02979
4612,50.5513,12.7678,08340
4621,50.0575,10.2160,97424
4625,53.6425,11.3872,19059
4629,54.5166,9.1420,25813
4642,52.8911,11.7297,39615
4649,50.8698,7.3228,53819
4651,51.9040,10.1885,38723
4656,53.9278,10.2993,23795
4664,50.1969,12.1727,95100
4692,50.8534,7.9966,57080
4702,48.1000,9.2500,72511
4703,48.0719,9.1942,72488
4704,47.5776,9.7404,88138
4705,49.7595,12.3891,95671
4706,48.2719,13.0273,84359
4709,49.9996,7.5981,55494
4719,49.2447,8.8787,74889
4729,50.2882,9.4583,36396
